Octave version 3.8.1
Minc-tool-kit version 0.3.18-20130531
NIAK quarantine /home/pbellec/git/niak/commands/misc/niak_gb_vars.m
Deamon started on 30-Mar-2016 10:04:19
30-Mar-2016 10:04:20 Starting the pipeline manager...
30-Mar-2016 10:04:20 Starting the garbage collector...
30-Mar-2016 10:04:21 Starting worker number 1...
30-Mar-2016 10:04:22 Starting worker number 2...
30-Mar-2016 10:04:22 Starting worker number 3...
30-Mar-2016 10:04:22 Starting worker number 4...
30-Mar-2016 10:04:22 Starting worker number 5...
30-Mar-2016 10:04:23 Starting worker number 6...
30-Mar-2016 10:04:23 Starting worker number 7...
30-Mar-2016 10:04:23 Starting worker number 8...
30-Mar-2016 10:04:23 Starting worker number 9...
30-Mar-2016 10:04:24 Starting worker number 10...
30-Mar-2016 10:04:24 Starting worker number 11...
30-Mar-2016 10:04:24 Starting worker number 12...
30-Mar-2016 10:04:24 Starting worker number 13...
30-Mar-2016 10:04:25 Starting worker number 14...
30-Mar-2016 10:04:25 Starting worker number 15...
30-Mar-2016 10:04:25 Starting worker number 16...
30-Mar-2016 10:04:25 Starting worker number 17...
30-Mar-2016 10:04:26 Starting worker number 18...
30-Mar-2016 10:04:26 Starting worker number 19...
30-Mar-2016 10:04:26 Starting worker number 20...
30-Mar-2016 10:04:27 Starting worker number 21...
30-Mar-2016 10:04:27 Starting worker number 22...
30-Mar-2016 10:04:27 Starting worker number 23...
30-Mar-2016 10:04:27 Starting worker number 24...
30-Mar-2016 10:04:28 Starting worker number 25...
30-Mar-2016 10:04:28 Starting worker number 26...
30-Mar-2016 10:04:28 Starting worker number 27...
30-Mar-2016 10:04:28 Starting worker number 28...
30-Mar-2016 10:04:29 Starting worker number 29...
30-Mar-2016 10:04:29 Starting worker number 30...
30-Mar-2016 10:04:29 Starting worker number 31...
30-Mar-2016 10:04:30 Starting worker number 32...
30-Mar-2016 10:04:30 Starting worker number 33...
30-Mar-2016 10:04:30 Starting worker number 34...
30-Mar-2016 10:04:31 Starting worker number 35...
30-Mar-2016 10:04:31 Starting worker number 36...
30-Mar-2016 10:04:32 Starting worker number 37...
30-Mar-2016 10:04:32 Starting worker number 38...
30-Mar-2016 10:04:33 Starting worker number 39...
30-Mar-2016 10:04:34 Starting worker number 40...
30-Mar-2016 10:04:34 Starting worker number 41...
30-Mar-2016 10:04:34 Starting worker number 42...
30-Mar-2016 10:04:34 Starting worker number 43...
30-Mar-2016 10:04:35 Starting worker number 44...
30-Mar-2016 10:04:35 Starting worker number 45...
30-Mar-2016 10:04:36 Starting worker number 46...
30-Mar-2016 10:04:36 Starting worker number 47...
30-Mar-2016 10:04:36 Starting worker number 48...
30-Mar-2016 10:04:37 Starting worker number 49...
30-Mar-2016 10:04:37 Starting worker number 50...
30-Mar-2016 10:04:37 Starting worker number 51...
30-Mar-2016 10:04:38 Starting worker number 52...
30-Mar-2016 10:04:38 Starting worker number 53...
30-Mar-2016 10:04:38 Starting worker number 54...
30-Mar-2016 10:04:39 Starting worker number 55...
30-Mar-2016 10:04:39 Starting worker number 56...
30-Mar-2016 10:04:39 Starting worker number 57...
30-Mar-2016 10:04:40 Starting worker number 58...
